OpenTimeUtc,Open,High,Low,Close,TickVolume,Spread
2026-09-11T17:59:15.985+00:00,4358.56,4358.65,4358.18,4358.18,25,0.08
2026-09-11T17:59:24.274+00:00,4358.17,4358.43,4358.07,4358.43,25,0.08
2026-09-11T17:59:32.727+00:00,4358.45,4358.82,4358.07,4358.1,25,0.08
2026-09-11T17:59:42.967+00:00,4358.0,4358.54,4357.98,4358.53,25,0.08
2026-09-11T17:59:50.924+00:00,4358.26,4358.59,4358.26,4358.59,25,0.08
2026-09-11T17:59:59.538+00:00,4358.57,4358.6,4358.09,4358.25,25,0.08
2026-09-11T18:00:07.678+00:00,4358.21,4358.29,4357.92,4358.07,25,0.08
2026-09-11T18:00:16.573+00:00,4358.03,4358.71,4357.87,4358.71,25,0.09
2026-09-11T18:00:24.810+00:00,4358.66,4359.51,4358.45,4359.5,25,0.12
2026-09-11T18:00:31.093+00:00,4359.51,4359.51,4358.12,4358.49,25,0.13
2026-09-11T18:00:38.640+00:00,4358.49,4358.54,4357.27,4357.39,25,0.11
2026-09-11T18:00:46.412+00:00,4357.32,4358.62,4357.31,4358.62,25,0.09
2026-09-11T18:00:53.381+00:00,4358.61,4358.61,4357.54,4357.64,25,0.12
2026-09-11T18:01:00.462+00:00,4357.64,4357.64,4357.18,4357.2,25,0.09
2026-09-11T18:01:07.396+00:00,4357.18,4357.92,4357.16,4357.46,25,0.11
2026-09-11T18:01:14.393+00:00,4357.48,4358.12,4357.44,4357.44,25,0.11
2026-09-11T18:01:22.580+00:00,4357.4,4357.8,4357.4,4357.71,25,0.1
2026-09-11T18:01:30.650+00:00,4357.81,4357.93,4357.49,4357.87,25,0.11
2026-09-11T18:01:38.050+00:00,4357.86,4358.28,4357.52,4357.54,25,0.08
2026-09-11T18:01:46.449+00:00,4357.42,4358.14,4357.42,4357.86,25,0.1
2026-09-11T18:01:53.323+00:00,4357.74,4358.21,4357.7,4357.95,25,0.09
2026-09-11T18:02:00.994+00:00,4357.8,4358.78,4357.8,4358.74,25,0.13
2026-09-11T18:02:08.030+00:00,4358.63,4358.63,4357.92,4358.24,25,0.11
2026-09-11T18:02:14.445+00:00,4358.35,4358.81,4358.22,4358.51,25,0.13
2026-09-11T18:02:22.534+00:00,4358.52,4359.04,4358.29,4358.37,25,0.1
2026-09-11T18:02:29.633+00:00,4358.5,4359.02,4358.34,4358.56,25,0.09
2026-09-11T18:02:36.262+00:00,4358.47,4359.13,4358.24,4358.69,25,0.13
2026-09-11T18:02:42.923+00:00,4358.8,4359.01,4358.44,4358.46,25,0.09
2026-09-11T18:02:49.817+00:00,4358.67,4359.44,4358.67,4359.44,25,0.12
2026-09-11T18:02:57.041+00:00,4359.54,4359.7,4359.12,4359.15,25,0.11
2026-09-11T18:03:04.026+00:00,4359.17,4359.19,4358.58,4359.08,25,0.09
2026-09-11T18:03:11.582+00:00,4359.39,4359.53,4358.82,4359.53,25,0.08
2026-09-11T18:03:20.191+00:00,4359.58,4359.68,4359.27,4359.4,25,0.1
2026-09-11T18:03:27.838+00:00,4359.36,4359.64,4359.1,4359.1,25,0.09
2026-09-11T18:03:36.277+00:00,4359.34,4359.46,4358.79,4358.84,25,0.08
2026-09-11T18:03:45.818+00:00,4358.83,4359.32,4358.83,4359.32,25,0.08
2026-09-11T18:03:53.887+00:00,4359.33,4359.69,4359.01,4359.69,25,0.11
2026-09-11T18:04:04.483+00:00,4359.71,4359.71,4358.8,4358.8,25,0.11
2026-09-11T18:04:11.932+00:00,4358.86,4359.36,4358.69,4358.8,25,0.1
2026-09-11T18:04:19.504+00:00,4358.84,4359.01,4358.58,4358.78,25,0.13
2026-09-11T18:04:28.621+00:00,4358.99,4359.35,4358.76,4359.21,25,0.11
2026-09-11T18:04:38.411+00:00,4359.22,4359.24,4358.7,4358.78,25,0.08
2026-09-11T18:04:46.974+00:00,4358.74,4359.52,4358.69,4359.5,25,0.12
2026-09-11T18:04:55.307+00:00,4359.51,4360.07,4359.34,4359.34,25,0.11
2026-09-11T18:05:03.613+00:00,4359.43,4359.96,4359.32,4359.9,25,0.1
2026-09-11T18:05:11.981+00:00,4359.89,4360.17,4359.69,4359.82,25,0.09
2026-09-11T18:05:20.264+00:00,4359.82,4359.82,4358.8,4359.11,25,0.11
2026-09-11T18:05:26.856+00:00,4359.12,4359.12,4358.0,4358.41,25,0.09
2026-09-11T18:05:34.588+00:00,4358.34,4358.39,4357.62,4357.97,25,0.12
2026-09-11T18:05:40.753+00:00,4357.98,4358.27,4357.49,4357.57,25,0.09
2026-09-11T18:05:47.984+00:00,4357.49,4358.24,4357.49,4357.79,25,0.09
2026-09-11T18:05:55.591+00:00,4357.73,4358.67,4357.73,4358.45,25,0.08
2026-09-11T18:06:02.133+00:00,4358.44,4358.76,4358.22,4358.23,25,0.12
2026-09-11T18:06:09.721+00:00,4358.25,4358.83,4358.16,4358.81,25,0.13
2026-09-11T18:06:17.725+00:00,4358.82,4358.85,4357.7,4358.07,25,0.09
2026-09-11T18:06:23.970+00:00,4358.21,4358.21,4357.57,4357.74,25,0.12
2026-09-11T18:06:32.377+00:00,4357.71,4357.97,4357.56,4357.63,25,0.11
2026-09-11T18:06:40.931+00:00,4357.64,4358.0,4357.37,4357.37,25,0.12
2026-09-11T18:06:48.881+00:00,4357.46,4357.78,4357.37,4357.42,25,0.09
2026-09-11T18:06:57.908+00:00,4357.51,4357.93,4357.18,4357.18,25,0.1
2026-09-11T18:07:05.079+00:00,4357.23,4357.55,4356.94,4357.22,25,0.1
2026-09-11T18:07:12.723+00:00,4357.22,4357.33,4356.64,4356.86,25,0.12
2026-09-11T18:07:19.384+00:00,4356.91,4356.92,4356.55,4356.83,25,0.08
2026-09-11T18:07:26.867+00:00,4356.69,4356.84,4356.48,4356.51,25,0.08
2026-09-11T18:07:34.443+00:00,4356.48,4357.06,4356.46,4356.92,25,0.1
2026-09-11T18:07:41.209+00:00,4356.83,4356.84,4356.29,4356.36,25,0.09
2026-09-11T18:07:48.620+00:00,4356.44,4356.59,4356.17,4356.37,25,0.1
2026-09-11T18:07:56.701+00:00,4356.36,4356.68,4356.04,4356.04,25,0.11
2026-09-11T18:08:03.540+00:00,4355.97,4356.49,4355.89,4356.49,25,0.08
2026-09-11T18:08:10.563+00:00,4356.49,4356.66,4355.68,4355.84,25,0.1
2026-09-11T18:08:18.180+00:00,4355.72,4355.72,4355.29,4355.72,25,0.08
2026-09-11T18:08:25.199+00:00,4355.71,4355.88,4355.35,4355.52,25,0.08
2026-09-11T18:08:32.471+00:00,4355.51,4355.62,4355.31,4355.61,25,0.09
2026-09-11T18:08:41.946+00:00,4355.59,4355.66,4355.26,4355.66,25,0.08
2026-09-11T18:08:49.547+00:00,4355.69,4355.71,4355.39,4355.44,25,0.09
2026-09-11T18:08:57.151+00:00,4355.46,4355.69,4355.42,4355.69,25,0.08
2026-09-11T18:09:04.432+00:00,4355.4,4356.15,4355.4,4356.14,25,0.08
2026-09-11T18:09:12.381+00:00,4356.11,4356.46,4355.8,4356.46,25,0.08
2026-09-11T18:09:20.941+00:00,4356.48,4356.48,4356.01,4356.24,25,0.1
2026-09-11T18:09:30.342+00:00,4356.06,4356.06,4354.3,4354.67,25,0.12
2026-09-11T18:09:38.299+00:00,4354.7,4354.84,4354.16,4354.29,25,0.09
2026-09-11T18:09:46.722+00:00,4354.5,4354.5,4354.06,4354.1,25,0.11
2026-09-11T18:09:54.150+00:00,4353.93,4354.23,4353.66,4353.75,25,0.12
2026-09-11T18:10:02.952+00:00,4354.08,4354.64,4353.88,4354.57,25,0.11
2026-09-11T18:10:10.755+00:00,4354.54,4354.57,4354.13,4354.48,25,0.11
2026-09-11T18:10:18.949+00:00,4354.5,4354.87,4354.22,4354.85,25,0.11
2026-09-11T18:10:26.975+00:00,4354.82,4355.58,4354.64,4355.49,25,0.08
