ts_recv_utc,bid,ask,spread,msg_seq
2026-09-11T17:23:32.485+00:00,4367.42,4367.53,0.11,5
2026-09-11T17:23:32.710+00:00,4367.25,4367.36,0.11,5
2026-09-11T17:23:33.011+00:00,4367.24,4367.35,0.11,5
2026-09-11T17:23:33.742+00:00,4367.56,4367.67,0.11,5
2026-09-11T17:23:33.982+00:00,4367.66,4367.77,0.11,5
2026-09-11T17:23:34.207+00:00,4367.36,4367.47,0.11,5
2026-09-11T17:23:34.431+00:00,4367.37,4367.48,0.11,5
2026-09-11T17:23:34.655+00:00,4367.22,4367.33,0.11,5
2026-09-11T17:23:34.884+00:00,4367.35,4367.46,0.11,5
2026-09-11T17:23:35.107+00:00,4367.23,4367.34,0.11,5
2026-09-11T17:23:35.665+00:00,4367.25,4367.36,0.11,5
2026-09-11T17:23:35.999+00:00,4367.24,4367.35,0.11,5
2026-09-11T17:23:36.377+00:00,4367.22,4367.33,0.11,5
2026-09-11T17:23:36.677+00:00,4367.24,4367.35,0.11,5
2026-09-11T17:23:36.897+00:00,4367.04,4367.15,0.11,5
2026-09-11T17:23:37.426+00:00,4367.05,4367.16,0.11,5
2026-09-11T17:23:37.649+00:00,4367.04,4367.14,0.1,5
2026-09-11T17:23:37.872+00:00,4367.12,4367.22,0.1,5
2026-09-11T17:23:38.174+00:00,4367.11,4367.2,0.09,5
2026-09-11T17:23:38.475+00:00,4367.12,4367.23,0.11,5
2026-09-11T17:23:38.700+00:00,4367.3,4367.4,0.1,5
2026-09-11T17:23:39.453+00:00,4367.61,4367.72,0.11,5
2026-09-11T17:23:39.741+00:00,4367.63,4367.74,0.11,5
2026-09-11T17:23:40.512+00:00,4367.62,4367.74,0.12,5
2026-09-11T17:23:40.735+00:00,4367.63,4367.73,0.1,6
2026-09-11T17:23:40.960+00:00,4367.64,4367.74,0.1,6
2026-09-11T17:23:41.287+00:00,4367.34,4367.45,0.11,6
2026-09-11T17:23:41.592+00:00,4367.35,4367.44,0.09,6
2026-09-11T17:23:41.887+00:00,4367.36,4367.47,0.11,6
2026-09-11T17:23:42.153+00:00,4367.35,4367.47,0.12,6
2026-09-11T17:23:42.389+00:00,4367.99,4368.1,0.11,6
2026-09-11T17:23:42.614+00:00,4367.79,4367.88,0.09,6
2026-09-11T17:23:42.841+00:00,4368.04,4368.12,0.08,6
2026-09-11T17:23:43.064+00:00,4368.04,4368.13,0.09,6
2026-09-11T17:23:43.288+00:00,4367.93,4368.03,0.1,6
2026-09-11T17:23:43.515+00:00,4367.94,4368.06,0.12,6
2026-09-11T17:23:43.737+00:00,4368.03,4368.14,0.11,6
2026-09-11T17:23:43.963+00:00,4368.04,4368.13,0.09,6
2026-09-11T17:23:44.188+00:00,4368.09,4368.19,0.1,6
2026-09-11T17:23:44.413+00:00,4368.0,4368.09,0.09,6
2026-09-11T17:23:44.637+00:00,4367.93,4368.04,0.11,6
2026-09-11T17:23:45.090+00:00,4367.91,4368.03,0.12,6
2026-09-11T17:23:45.625+00:00,4367.95,4368.06,0.11,6
2026-09-11T17:23:45.855+00:00,4368.01,4368.12,0.11,6
2026-09-11T17:23:46.151+00:00,4368.04,4368.15,0.11,6
2026-09-11T17:23:46.766+00:00,4368.01,4368.12,0.11,6
2026-09-11T17:23:47.064+00:00,4368.01,4368.13,0.12,6
2026-09-11T17:23:47.503+00:00,4368.03,4368.14,0.11,6
