Close,reference_price,reference_regime,directional_distance,scale,normalized_measurement,signal
1.10094,1.10097778353934,-1.0,-3.7783539339919514e-05,0.00103857142857146,0.03638029922688151,-1.0
1.10035,1.100879122059264,-1.0,-0.0005291220592640311,0.00101214285714289,0.5227740881930977,-1.0
1.09994,1.1006722570417014,-1.0,-0.000732257041701434,0.000999285714285758,0.7327804563130541,-1.0
1.0999,1.1006107709013018,-1.0,-0.0007107709013016716,0.0009342857142857605,0.7607639616378372,-1.0
1.09942,1.1003915251059366,-1.0,-0.0009715251059365659,0.0009221428571429031,1.0535516253378192,-1.0
1.09974,1.1003970835729477,-1.0,-0.0006570835729478031,0.0008664285714286171,0.7583817000221564,-1.0
1.09883,1.1000985708683682,-1.0,-0.0012685708683681796,0.0008642857142857618,1.4677679468721931,-1.0
1.09826,1.09985761552116,-1.0,-0.0015976155211598897,0.0009157142857143372,1.7446659357439314,-1.0
1.09733,1.0994262459951114,-1.0,-0.00209624599511149,0.0009671428571428965,2.1674626241919985,-1.0
1.09642,1.099010670416734,-1.0,-0.0025906704167339978,0.0010042857142857592,2.5796149242015893,-1.0
1.09715,1.0989993557510997,-1.0,-0.0018493557510996794,0.0010050000000000336,1.840154976218525,-1.0
1.09795,1.0990293702727345,-1.0,-0.0010793702727345256,0.0010407142857143154,1.037143707500544,-1.0
1.09893,1.0981950709091153,1.0,0.0007349290908846839,0.0010314285714286037,0.7125351296665688,1.0
1.09809,1.098199134846547,1.0,-0.00010913484654695438,0.0010321428571428942,0.10573618350569594,1.0
1.09839,1.0982190002463255,1.0,0.0001709997536745167,0.0010471428571428973,0.1633012654463262,1.0
1.09841,1.0982392368009677,1.0,0.00017076319903241988,0.0010050000000000336,0.16991363087802405,1.0
1.09812,1.0982435266606974,1.0,-0.00012352666069737062,0.0009921428571428859,0.12450491358985878,1.0
1.09901,1.0983763547182106,1.0,0.0006336452817894411,0.0010428571428571548,0.6076050647295941,1.0
1.09982,1.0987304419172546,1.0,0.0010895580827454676,0.0010785714285714207,1.0101863018832224,1.0
1.09928,1.0987380260239932,1.0,0.0005419739760068598,0.0011207142857142843,0.483596919317785,1.0
1.09838,1.0987713337643052,1.0,-0.00039133376430533495,0.001119999999999994,0.34940514670119377,1.0
1.09859,1.0987754491236843,1.0,-0.00018544912368434474,0.001087142857142858,0.1705839508265982,1.0
1.09797,1.0988058004292875,1.0,-0.0008358004292876586,0.0010864285714285834,0.769310059830841,1.0
1.09842,1.0988132171655842,1.0,-0.0003932171655842698,0.0010507142857143017,0.3742379550088167,1.0
1.09938,1.0988255190341172,1.0,0.000554480965882842,0.001057857142857158,0.5241548630897824,1.0
1.0991,1.0988467456255604,1.0,0.000253254374439571,0.0009942857142857253,0.2547098593501404,1.0
